Type,TurnID,Category,Timestamp,Message
Log,50,TurnBarrier,17015709.224531,[Barrier] Broadcasting OnAllMovesFinished for Turn 50
Log,50,TurnManager,17015709.224549,[Turn 50] Barrier complete - all move actions finished (EnemyPhaseInProgress=1)
Log,51,TurnManager,17015709.224562,[Turn 50] Enemy phase complete. Ending turn.
Warning,51,TurnManager,17015709.224584,[Turn 50] ==== EndEnemyTurn ====
Warning,51,TurnInit,17015709.224730,[Turn 51] ==== OnTurnStarted (Subsystem) START ====
Log,51,TurnInit,17015709.224740,[Turn 51] ClearResidualInProgressTags called
Log,51,EnemyAI,17015709.224750,[CollectAllEnemies] ==== START ====
Log,51,EnemyAI,17015709.224760,[CollectAllEnemies] GetAllActorsOfClass found 6 Pawns
Log,51,EnemyAI,17015709.224771,"[CollectAllEnemies] Added[0]: BP_EnemyUnitBase_C_0 (TeamId=2, GTag=1, ByTeam=1, ActorTag=1)"
Log,51,EnemyAI,17015709.224781,"[CollectAllEnemies] Added[1]: BP_EnemyUnitBase_C_1 (TeamId=2, GTag=1, ByTeam=1, ActorTag=1)"
Log,51,EnemyAI,17015709.224791,"[CollectAllEnemies] Added[2]: BP_EnemyUnitBase_C_2 (TeamId=2, GTag=1, ByTeam=1, ActorTag=1)"
Log,51,EnemyAI,17015709.224799,[CollectAllEnemies] ==== RESULT ==== found=6  collected=5  byGTag=5  byTeam=5  byActorTag=5
Log,51,TurnInit,17015709.224810,[Turn 51] Enemy roster updated: 5 -> 5
Log,51,TurnInit,17015709.224885,"[Turn 51] DF: Player=(10,14) Enemies=5 Margin=9"
Log,51,TurnInit,17015709.224911,[Turn 51] ✅All enemies reachable with Margin=9
Warning,51,TurnInit,17015709.224923,[Turn 51] Generating preliminary enemy intents...
Log,51,EnemyAI,17015709.224932,"[BuildObservations] PlayerGrid=(10, 14)"
Warning,51,TurnCore,17015709.224944,"[TurnCore] CoreObservationPhase received PlayerCell=(10, 14)"
Log,51,TurnCore,17015709.224955,[TurnCore] ObservationPhase: Purged outdated reservations for turn 51
Log,51,TurnCore,17015709.225130,[TurnCore] ObservationPhase: Complete
Log,51,EnemyAI,17015709.225146,"[BuildObservations] DistanceField updated with PlayerGrid=(10,14)"
Log,51,EnemyAI,17015709.225155,"[BuildObservations] Enemy[0]: BP_EnemyUnitBase_C_0, Grid=(12, 13), DistToPlayer=2"
Log,51,EnemyAI,17015709.225171,"[BuildObservations] Enemy[1]: BP_EnemyUnitBase_C_1, Grid=(13, 16), DistToPlayer=3"
Log,51,EnemyAI,17015709.225180,"[BuildObservations] Enemy[2]: BP_EnemyUnitBase_C_2, Grid=(14, 14), DistToPlayer=4"
Log,51,EnemyAI,17015709.225190,"[BuildObservations] ==== RESULT ==== Generated 5 observations (Valid=5, Invalid=0)"
Warning,51,EnemyAI,17015709.225202,"[CollectIntents] ==== START ==== Observations=5, Enemies=5"
Warning,51,EnemyAI,17015709.225211,[CollectIntents] === PASS 1: Attack Intent Generation ===
Log,51,EnemyThinker,17015709.225222,[ComputeIntent] BP_EnemyUnitBase_C_0: MOVE intent (TileDistance=2 > Range=1)
Log,51,EnemyAI,17015709.225232,"[ComputeIntent] Enemy=BP_EnemyUnitBase_C_0, Thinker found, Intent=AI.Intent.Move"
Log,51,EnemyThinker,17015709.225242,[ComputeIntent] BP_EnemyUnitBase_C_1: MOVE intent (TileDistance=3 > Range=1)
Log,51,EnemyAI,17015709.225254,"[ComputeIntent] Enemy=BP_EnemyUnitBase_C_1, Thinker found, Intent=AI.Intent.Move"
Log,51,EnemyThinker,17015709.225266,[ComputeIntent] BP_EnemyUnitBase_C_2: MOVE intent (TileDistance=4 > Range=1)
Log,51,EnemyAI,17015709.225277,"[ComputeIntent] Enemy=BP_EnemyUnitBase_C_2, Thinker found, Intent=AI.Intent.Move"
Log,51,EnemyThinker,17015709.225286,[ComputeIntent] BP_EnemyUnitBase_C_3: MOVE intent (TileDistance=2 > Range=1)
Log,51,EnemyAI,17015709.225298,"[ComputeIntent] Enemy=BP_EnemyUnitBase_C_3, Thinker found, Intent=AI.Intent.Move"
Log,51,EnemyThinker,17015709.225311,[ComputeIntent] BP_EnemyUnitBase_C_4: MOVE intent (TileDistance=3 > Range=1)
Log,51,EnemyAI,17015709.225332,"[ComputeIntent] Enemy=BP_EnemyUnitBase_C_4, Thinker found, Intent=AI.Intent.Move"
Warning,51,EnemyAI,17015709.225359,"[CollectIntents] Pass1 Complete: AttackIntents=0, HardBlockedCells=0"
Warning,51,EnemyAI,17015709.225379,[CollectIntents] === PASS 2: Move/Wait Intent Generation ===
Warning,51,EnemyAI,17015709.225398,"[CollectIntents] ==== RESULT ==== Generated 5 intents (Attack=0, Move=5, Wait=0)"
Warning,51,TurnInit,17015709.225420,[Turn 51] Preliminary intents generated: 5 intents from 5 enemies (will be updated after player move)
Log,51,TurnInit,17015709.225437,[Turn 51] Stored 5 preliminary intents in EnemyTurnDataSubsystem
Log,51,Temp,17015709.668116,[Client] Command created: TurnId=51 (from TurnManager) WindowId=52
Warning,51,Temp,17015709.668143,[Server] ☁ESubmitCommand RPC RECEIVED
Log,51,Temp,17015709.668165,[Server] WindowId validated: 52
Log,51,GridOccupancy,17015709.668346,"[GridOccupancy] RESERVE DEST: BP_PlayerUnit_C_0 -> (10, 15) (TurnId=51)"
Log,51,GridOccupancy,17015709.668358,"[GridOccupancy] RESERVE ORIGIN-HOLD: BP_PlayerUnit_C_0 protects origin (10, 14) (TurnId=51) [BACKSTAB PROTECTION]"
Log,51,TurnManager,17015709.668370,"[TurnCommandHandler] Player move reserved (10,15) - triggering enemy phase for simultaneous movement."
Log,51,TurnManager,17015709.668381,"[Turn 51] ExecuteEnemyPhase: Using RESERVED PlayerTargetCell=(10,15)"
Log,51,EnemyTurnDataSys,17015709.668392,[RebuildEnemyList] Starting rebuild with Tag='Enemy'
Log,51,EnemyTurnDataSys,17015709.668402,[RebuildEnemyList] Found 5 actors with tag 'Enemy'
Log,51,EnemyTurnDataSys,17015709.668412,"[RebuildEnemyList] Registered 0 new enemies, 5 already registered"
Log,51,EnemyTurnDataSys,17015709.668421,[RebuildEnemyList] Complete. Total enemies: 5 (Revision=103)
Log,51,EnemyTurnDataSys,17015709.668432,[Turn 51] RegenerateIntents: Found 5 enemies after RebuildEnemyList
Log,51,EnemyAI,17015709.668441,"[BuildObservations] PlayerGrid=(10, 15)"
Warning,51,TurnCore,17015709.668451,"[TurnCore] CoreObservationPhase received PlayerCell=(10, 15)"
Log,51,TurnCore,17015709.668462,[TurnCore] ObservationPhase: Purged outdated reservations for turn 51
Log,51,TurnCore,17015709.668573,[TurnCore] ObservationPhase: Complete
Log,51,EnemyAI,17015709.668590,"[BuildObservations] DistanceField updated with PlayerGrid=(10,15)"
Log,51,EnemyAI,17015709.668603,"[BuildObservations] Enemy[0]: BP_EnemyUnitBase_C_0, Grid=(12, 13), DistToPlayer=2"
Log,51,EnemyAI,17015709.668616,"[BuildObservations] Enemy[1]: BP_EnemyUnitBase_C_1, Grid=(13, 16), DistToPlayer=3"
Log,51,EnemyAI,17015709.668627,"[BuildObservations] Enemy[2]: BP_EnemyUnitBase_C_2, Grid=(14, 14), DistToPlayer=4"
Log,51,EnemyAI,17015709.668640,"[BuildObservations] ==== RESULT ==== Generated 5 observations (Valid=5, Invalid=0)"
Warning,51,EnemyAI,17015709.668652,"[CollectIntents] ==== START ==== Observations=5, Enemies=5"
Warning,51,EnemyAI,17015709.668663,[CollectIntents] === PASS 1: Attack Intent Generation ===
Log,51,EnemyThinker,17015709.668674,[ComputeIntent] BP_EnemyUnitBase_C_0: MOVE intent (TileDistance=2 > Range=1)
Log,51,EnemyAI,17015709.668686,"[ComputeIntent] Enemy=BP_EnemyUnitBase_C_0, Thinker found, Intent=AI.Intent.Move"
Log,51,EnemyThinker,17015709.668697,[ComputeIntent] BP_EnemyUnitBase_C_1: MOVE intent (TileDistance=3 > Range=1)
Log,51,EnemyAI,17015709.668706,"[ComputeIntent] Enemy=BP_EnemyUnitBase_C_1, Thinker found, Intent=AI.Intent.Move"
Log,51,EnemyThinker,17015709.668715,[ComputeIntent] BP_EnemyUnitBase_C_2: MOVE intent (TileDistance=4 > Range=1)
Log,51,EnemyAI,17015709.668725,"[ComputeIntent] Enemy=BP_EnemyUnitBase_C_2, Thinker found, Intent=AI.Intent.Move"
Log,51,EnemyThinker,17015709.668735,[ComputeIntent] BP_EnemyUnitBase_C_3: MOVE intent (TileDistance=2 > Range=1)
Log,51,EnemyAI,17015709.668745,"[ComputeIntent] Enemy=BP_EnemyUnitBase_C_3, Thinker found, Intent=AI.Intent.Move"
Log,51,EnemyThinker,17015709.668754,[ComputeIntent] BP_EnemyUnitBase_C_4: MOVE intent (TileDistance=3 > Range=1)
Log,51,EnemyAI,17015709.668764,"[ComputeIntent] Enemy=BP_EnemyUnitBase_C_4, Thinker found, Intent=AI.Intent.Move"
Warning,51,EnemyAI,17015709.668774,"[CollectIntents] Pass1 Complete: AttackIntents=0, HardBlockedCells=0"
Warning,51,EnemyAI,17015709.668785,[CollectIntents] === PASS 2: Move/Wait Intent Generation ===
Warning,51,EnemyAI,17015709.668797,"[CollectIntents] ==== RESULT ==== Generated 5 intents (Attack=0, Move=5, Wait=0)"
Log,51,EnemyTurnDataSys,17015709.668807,"[Turn 51] RegenerateIntents: Generated 5 intents (Attack=0, Move=5, Wait=0) for PlayerCell=(10,15)"
Log,51,TurnManager,17015709.668818,[Turn 51] Mode: SIMULTANEOUS
Log,51,TurnManager,17015709.668826,[Turn 51] ==== Simultaneous Move Phase (No Attacks) ====
Log,51,TurnManager,17015709.668837,[Turn 51] ExecuteSimultaneousPhase: Processing 5 intents via CoreResolvePhase
Log,51,TurnCore,17015709.668851,"[TurnCore] ResolvePhase: Resolved 5 actions, Hash=0xB5BDDA06"
Log,51,GridOccupancy,17015709.668862,"[GridOccupancy] RESERVE DEST: BP_EnemyUnitBase_C_2 -> (14, 15) (TurnId=51)"
Log,51,GridOccupancy,17015709.668873,"[GridOccupancy] RESERVE ORIGIN-HOLD: BP_EnemyUnitBase_C_2 protects origin (14, 14) (TurnId=51) [BACKSTAB PROTECTION]"
Log,51,GridOccupancy,17015709.668882,"[GridOccupancy] RESERVE DEST: BP_EnemyUnitBase_C_4 -> (12, 15) (TurnId=51)"
Log,51,GridOccupancy,17015709.668892,"[GridOccupancy] RESERVE ORIGIN-HOLD: BP_EnemyUnitBase_C_4 protects origin (13, 15) (TurnId=51) [BACKSTAB PROTECTION]"
Log,51,GridOccupancy,17015709.668901,"[GridOccupancy] RESERVE DEST: BP_EnemyUnitBase_C_1 -> (12, 16) (TurnId=51)"
Log,51,GridOccupancy,17015709.668910,"[GridOccupancy] RESERVE ORIGIN-HOLD: BP_EnemyUnitBase_C_1 protects origin (13, 16) (TurnId=51) [BACKSTAB PROTECTION]"
Log,51,GridOccupancy,17015709.668922,"[GridOccupancy] RESERVE DEST: BP_EnemyUnitBase_C_3 -> (11, 15) (TurnId=51)"
Log,51,GridOccupancy,17015709.668933,"[GridOccupancy] RESERVE ORIGIN-HOLD: BP_EnemyUnitBase_C_3 protects origin (12, 14) (TurnId=51) [BACKSTAB PROTECTION]"
Log,51,GridOccupancy,17015709.668942,"[GridOccupancy] RESERVE DEST: BP_EnemyUnitBase_C_0 -> (11, 14) (TurnId=51)"
Log,51,GridOccupancy,17015709.668952,"[GridOccupancy] RESERVE ORIGIN-HOLD: BP_EnemyUnitBase_C_0 protects origin (12, 13) (TurnId=51) [BACKSTAB PROTECTION]"
Log,51,TurnManager,17015709.668963,[Turn 51] ExecuteSimultaneousPhase: CoreResolvePhase produced 5 resolved actions
Log,51,UnitBase,17015709.668973,[MoveUnit] BP_EnemyUnitBase_C_2: Delegating to MovementComponent (PathNum=1)
Log,51,UnitMovement,17015709.668982,[UnitMovementComponent] Movement started with 1 waypoints
Log,51,MoveReservation,17015709.668994,"[DispatchResolvedMove] Registered enemy move: Actor=BP_EnemyUnitBase_C_2, TurnId=51, ActionId=ED76BC344A2889BD778235A95FB67493"
Log,51,UnitBase,17015709.669005,[MoveUnit] BP_EnemyUnitBase_C_4: Delegating to MovementComponent (PathNum=1)
Log,51,UnitMovement,17015709.669014,[UnitMovementComponent] Movement started with 1 waypoints
Log,51,MoveReservation,17015709.669028,"[DispatchResolvedMove] Registered enemy move: Actor=BP_EnemyUnitBase_C_4, TurnId=51, ActionId=3F5EA0C541149A8363193D9FF391AAD3"
Log,51,UnitBase,17015709.669037,[MoveUnit] BP_EnemyUnitBase_C_1: Delegating to MovementComponent (PathNum=1)
