Type,TurnID,Category,Timestamp,Message
Warning,1,TurnAdvanceGuard,17021741.612552,[EndEnemyTurn] Retry scheduled in 0.5s
Warning,1,TurnBarrier,17021741.612563,[Barrier] Turn 1: ALL ACTIONS COMPLETED (Remaining=0) -> Scheduling OnAllMovesFinished (NextTick)
Log,1,AttackAbility,17021741.612575,"[GA_AttackBase] EndAbility: Completed attack in Barrier (TurnId=1, ActionId=24AD59554F82C14E6B79948A784CA80C, Actor=BP_EnemyUnitBase_C_4)"
Error,1,AttackAbility,17021741.612590,[GA_MeleeAttack] BP_EnemyUnitBase_C_4: OnAttackCompleted RETURNED
Log,2,TurnBarrier,17021741.612718,[Barrier] Broadcasting OnAllMovesFinished for Turn 1
Log,2,TurnManager,17021741.612734,[Turn 1] Barrier complete - all move actions finished (EnemyPhaseInProgress=1)
Log,2,TurnManager,17021741.612745,[Turn 1] Enemy phase complete. Ending turn.
Log,2,TurnManager,17021741.612766,[Turn 1] Sequential mode flags cleared
Warning,2,TurnManager,17021741.612775,[Turn 1] ==== EndEnemyTurn ====
Warning,2,TurnInit,17021741.612885,[Turn 2] ==== OnTurnStarted (Subsystem) START ====
Log,2,TurnInit,17021741.612895,[Turn 2] ClearResidualInProgressTags called
Log,2,EnemyAI,17021741.612904,[CollectAllEnemies] ==== START ====
Log,2,EnemyAI,17021741.612932,[CollectAllEnemies] GetAllActorsOfClass found 6 Pawns
Log,2,EnemyAI,17021741.612943,"[CollectAllEnemies] Added[0]: BP_EnemyUnitBase_C_0 (TeamId=2, GTag=1, ByTeam=1, ActorTag=1)"
Log,2,EnemyAI,17021741.612953,"[CollectAllEnemies] Added[1]: BP_EnemyUnitBase_C_1 (TeamId=2, GTag=1, ByTeam=1, ActorTag=1)"
Log,2,EnemyAI,17021741.612962,"[CollectAllEnemies] Added[2]: BP_EnemyUnitBase_C_2 (TeamId=2, GTag=1, ByTeam=1, ActorTag=1)"
Log,2,EnemyAI,17021741.612972,[CollectAllEnemies] ==== RESULT ==== found=6  collected=5  byGTag=5  byTeam=5  byActorTag=5
Log,2,TurnInit,17021741.612982,[Turn 2] Enemy roster updated: 5 -> 5
Log,2,TurnInit,17021741.613030,"[Turn 2] DF: Player=(17,42) Enemies=5 Margin=9"
Log,2,TurnInit,17021741.613040,[Turn 2] ✅All enemies reachable with Margin=9
Warning,2,TurnInit,17021741.613049,[Turn 2] Generating preliminary enemy intents...
Log,2,EnemyAI,17021741.613057,"[BuildObservations] PlayerGrid=(17, 42)"
Warning,2,TurnCore,17021741.613067,"[TurnCore] CoreObservationPhase received PlayerCell=(17, 42)"
Log,2,TurnCore,17021741.613077,[TurnCore] ObservationPhase: Purged outdated reservations for turn 2
Log,2,TurnCore,17021741.613087,[TurnCore] ObservationPhase: Complete
Log,2,EnemyAI,17021741.613101,"[BuildObservations] DistanceField updated with PlayerGrid=(17,42)"
Log,2,EnemyAI,17021741.613111,"[BuildObservations] Enemy[0]: BP_EnemyUnitBase_C_0, Grid=(19, 45), DistToPlayer=3"
Log,2,EnemyAI,17021741.613123,"[BuildObservations] Enemy[1]: BP_EnemyUnitBase_C_1, Grid=(19, 44), DistToPlayer=2"
