Type,TurnID,Category,Timestamp,Message
Log,1,TurnBarrier,17015210.517288,[Barrier] Broadcasting OnAllMovesFinished for Turn 1
Log,1,TurnManager,17015210.517317,[Turn 1] Barrier complete - all move actions finished (EnemyPhaseInProgress=1)
Log,2,TurnManager,17015210.517337,[Turn 1] Enemy phase complete. Ending turn.
Log,2,TurnManager,17015210.517362,[Turn 1] Sequential mode flags cleared
Warning,2,TurnManager,17015210.517373,[Turn 1] ==== EndEnemyTurn ====
Log,2,TurnAdvanceGuard,17015210.517400,"[CanAdvanceTurn] OK: Turn=1 (Barrier=Quiet, InProgress=0)"
Log,2,TurnManager,17015210.517412,[AdvanceTurnAndRestart] Current Turn: 1
Log,2,TurnAdvanceGuard,17015210.517423,"[CanAdvanceTurn] OK: Turn=1 (Barrier=Quiet, InProgress=0)"
Log,2,TurnCore,17015210.517435,[TurnCore] CleanupPhase: Complete
Log,2,TurnManager,17015210.517458,[AdvanceTurnAndRestart] CoreCleanupPhase completed
Log,2,TurnFlow,17015210.517471,[TurnFlowCoordinator] Turn ended: TurnId=1
Log,2,TurnFlow,17015210.517482,"[TurnFlowCoordinator] Turn advanced: TurnId=2, TurnIndex=2"
Log,2,TurnManager,17015210.517494,[AdvanceTurnAndRestart] Turn advanced: 1 -> 2 (bEndTurnPosted reset)
Log,2,TurnManager,17015210.517507,[AdvanceTurnAndRestart] Barrier::BeginTurn(2) called
Log,2,TurnManager,17015210.517524,[AdvanceTurnAndRestart] OnTurnStarted broadcasted for turn 2
Warning,2,TurnCore,17015210.517851,"[TurnCore] CoreObservationPhase received PlayerCell=(35, 61)"
Log,2,TurnCore,17015210.517867,[TurnCore] ObservationPhase: Purged outdated reservations for turn 2
Log,2,TurnCore,17015210.518007,[TurnCore] ObservationPhase: Complete
Warning,2,EnemyAI,17015210.518107,"[CollectIntents] ==== START ==== Observations=5, Enemies=5"
Warning,2,EnemyAI,17015210.518117,[CollectIntents] === PASS 1: Attack Intent Generation ===
Log,2,EnemyThinker,17015210.518128,[ComputeIntent] BP_EnemyUnitBase_C_0: MOVE intent (TileDistance=2 > Range=1)
Log,2,EnemyAI,17015210.518138,"[ComputeIntent] Enemy=BP_EnemyUnitBase_C_0, Thinker found, Intent=AI.Intent.Move"
Log,2,EnemyThinker,17015210.518150,"[ComputeIntent] BP_EnemyUnitBase_C_1: ATTACK intent (TileDistance=1, Range=1, Target=BP_PlayerUnit_C_0)"
Log,2,EnemyAI,17015210.518160,"[ComputeIntent] Enemy=BP_EnemyUnitBase_C_1, Thinker found, Intent=AI.Intent.Attack"
Warning,2,EnemyAI,17015210.518171,"[CollectIntents] Pass1[1]: BP_EnemyUnitBase_C_1 -> ATTACK at (36,60), HardBlocked"
Log,2,EnemyThinker,17015210.518182,[ComputeIntent] BP_EnemyUnitBase_C_2: MOVE intent (TileDistance=2 > Range=1)
Log,2,EnemyAI,17015210.518192,"[ComputeIntent] Enemy=BP_EnemyUnitBase_C_2, Thinker found, Intent=AI.Intent.Move"
