Type,TurnID,Category,Timestamp,Message
Warning,11,TurnBarrier,17039760.708785,[Barrier] Turn 11: ALL ACTIONS COMPLETED (Remaining=0) -> Scheduling OnAllMovesFinished (NextTick)
Log,11,MoveReservation,17039760.708802,[HandleManualMoveFinished] Completed barrier for BP_EnemyUnitBase_C_2 TurnId=11
Log,11,UnitMovement,17039760.708813,[UnitMovementComponent] Movement finished and snapped. (RetryCount=0)
Log,11,TurnBarrier,17039760.709048,[Barrier] Broadcasting OnAllMovesFinished for Turn 11
Log,12,TurnManager,17039760.709065,[Turn 11] Barrier complete - all move actions finished (EnemyPhaseInProgress=1)
Log,12,TurnManager,17039760.709077,[Turn 11] Enemy phase complete. Ending turn.
Warning,12,TurnManager,17039760.709097,[Turn 11] ==== EndEnemyTurn ====
Log,12,TurnAdvanceGuard,17039760.709109,"[CanAdvanceTurn] OK: Turn=11 (Barrier=Quiet, InProgress=0)"
Log,12,TurnManager,17039760.709119,[AdvanceTurnAndRestart] Current Turn: 11
Log,12,TurnAdvanceGuard,17039760.709129,"[CanAdvanceTurn] OK: Turn=11 (Barrier=Quiet, InProgress=0)"
Log,12,TurnCore,17039760.709140,[TurnCore] CleanupPhase: Complete
Log,12,TurnManager,17039760.709149,[AdvanceTurnAndRestart] CoreCleanupPhase completed
Log,12,TurnFlow,17039760.709159,[TurnFlowCoordinator] Turn ended: TurnId=11
Log,12,TurnFlow,17039760.709169,"[TurnFlowCoordinator] Turn advanced: TurnId=12, TurnIndex=12"
Log,12,TurnManager,17039760.709179,[AdvanceTurnAndRestart] Turn advanced: 11 -> 12 (bEndTurnPosted reset)
Log,12,TurnManager,17039760.709191,[AdvanceTurnAndRestart] Barrier::BeginTurn(12) called
Log,12,TurnManager,17039760.709201,[AdvanceTurnAndRestart] OnTurnStarted broadcasted for turn 12
Log,12,EnemyAI,17039760.709279,"[CollectAllEnemies] Added[2]: BP_EnemyUnitBase_C_2 (TeamId=2, GTag=1, ByTeam=1, ActorTag=1)"
Log,12,EnemyAI,17039760.709288,[CollectAllEnemies] ==== RESULT ==== found=6  collected=5  byGTag=5  byTeam=5  byActorTag=5
Log,12,TurnFlow,17039760.709392,"[TFC] OpenNewInputWindow: TurnId=12, WindowId=13"
Log,12,Temp,17039760.709413,"[PIP] OpenInputWindow: TurnId=12, WindowId=13"
Warning,12,TurnManager,17039760.709434,[Client] OnRep_WaitingForPlayerInput: 1
Warning,12,Temp,17039760.718371,[Client] New window with buffered input - processing immediately
Warning,12,Temp,17039760.718386,"[Client] ProcessBufferedInput: Processing buffered direction=(0.00, 1.00)"
Log,12,Temp,17039760.718402,[Client] ProcessBufferedInput: Command created TurnId=12 WindowId=13
Warning,12,Temp,17039760.718438,"[Server] Client sent WindowId=13, TurnId=12, Tag=InputTag.Move, Dir=(1.0, 0.0)"
Log,12,Temp,17039760.718451,[Server] WindowId validated: 13
Log,12,TurnManager,17039760.718466,"[TurnCommandHandler] Command validated: Tag=InputTag.Move, TurnId=12, WindowId=13"
Log,12,TurnManager,17039760.718482,"[TurnCommandHandler] Command received and validated: TurnId=12, Tag=InputTag.Move, TargetCell=(49,32)"
Log,12,TurnManager,17039760.718495,"[TurnCommandHandler] Command marked as accepted: TurnId=12, Tag=InputTag.Move"
Log,12,Temp,17039760.718522,[Client]   bSentThisInputWindow: false -> true
Log,12,Temp,17039760.718535,[Client]   LastProcessedWindowId: -1 -> 13
Log,12,MoveAbility,17039760.718550,"[GA_MoveBase] ABILITY ACTIVATED: Actor=BP_PlayerUnit_C_0, Team=0"
Log,12,MoveAbility,17039760.718564,[GA_MoveBase] Registered with Barrier: Turn=12 ActionId=AD8B8AC7424112F4F981B49FA176C85D Registered=1
Log,12,MoveAbility,17039760.718576,[GA_MoveBase] TurnId retrieved from TurnManager: 12 (Actor=BP_PlayerUnit_C_0)
Warning,12,MoveAbility,17039760.718589,[GA_MoveBase] BP_PlayerUnit_C_0: Added Event_Dungeon_Step tag (Activate/ResolvedCell)
Warning,12,MoveAbility,17039760.718603,[GA_MoveBase] BP_PlayerUnit_C_0: Sent GameplayEvent Event_Dungeon_Step START (ResolvedCell)
Log,12,MoveAbility,17039760.718617,"[GA_MoveBase] Starting move to resolved cell: Target=(49,32) Actor=BP_PlayerUnit_C_0 Magnitude=4198560"
Log,12,MoveAbility,17039760.718633,[BindMoveFinishedDelegate] SUCCESS: Unit BP_PlayerUnit_C_0 delegate bound to UnitMovementComponent::OnMoveFinished
Log,12,UnitBase,17039760.718647,[MoveUnit] BP_PlayerUnit_C_0: Delegating to MovementComponent (PathNum=1)
Log,12,UnitMovement,17039760.718668,[UnitMovementComponent] Movement started with 1 waypoints
Log,12,GridOccupancy,17039760.718683,"[GridOccupancy] RESERVE DEST: BP_PlayerUnit_C_0 -> (49, 32) (TurnId=12)"
Log,12,TurnManager,17039760.718700,"[TurnCommandHandler] Player move reserved (49,32) - triggering enemy phase for simultaneous movement."
Log,12,TurnManager,17039760.718715,"[Turn 12] ExecuteEnemyPhase: Using RESERVED PlayerTargetCell=(49,32)"
Log,12,EnemyTurnDataSys,17039760.718729,[Turn 12] RegenerateIntents: Found 5 enemies after RebuildEnemyList
Log,12,EnemyAI,17039760.718742,"[BuildObservations] PlayerGrid=(49, 32)"
Warning,12,TurnCore,17039760.718754,"[TurnCore] CoreObservationPhase received PlayerCell=(49, 32)"
Log,12,TurnCore,17039760.718839,[TurnCore] ObservationPhase: Purged outdated reservations for turn 12
Log,12,TurnCore,17039760.718875,[TurnCore] ObservationPhase: Complete
Log,12,EnemyAI,17039760.718916,"[BuildObservations] Enemy[2]: BP_EnemyUnitBase_C_2, Grid=(50, 21), DistToPlayer=11"
Log,12,EnemyAI,17039760.718925,"[BuildObservations] ==== RESULT ==== Generated 5 observations (Valid=5, Invalid=0)"
Warning,12,EnemyAI,17039760.718934,"[CollectIntents] ==== START ==== Observations=5, Enemies=5"
Warning,12,EnemyAI,17039760.718943,[CollectIntents] === PASS 1: Attack Intent Generation ===
Log,12,EnemyThinker,17039760.718955,"[ComputeIntent] BP_EnemyUnitBase_C_0: Calling GetNextStep from (40,16) to Player at (49,32)"
Warning,12,EnemyThinker,17039760.718965,"[ComputeIntent] BP_EnemyUnitBase_C_0: DF PlayerPos=(49,32), CurrentCellDist=740"
Warning,12,EnemyThinker,17039760.718977,"[ComputeIntent] BP_EnemyUnitBase_C_0: GetNextStep returned (39,16) (moved=1, NextDist=730)"
Warning,12,EnemyThinker,17039760.718988,"[ComputeIntent] BP_EnemyUnitBase_C_0: Neighbors: (41,16)=750 (39,16)=730 (40,17)=-1 (40,15)=-1 (41,17)=-1 (41,15)=-1 (39,17)=-1 (39,15)=-1 "
Log,12,EnemyThinker,17039760.718996,[ComputeIntent] BP_EnemyUnitBase_C_0: MOVE intent (TileDistance=16 > Range=1)
Log,12,EnemyAI,17039760.719005,"[ComputeIntent] Enemy=BP_EnemyUnitBase_C_0, Thinker found, Intent=AI.Intent.Move"
Log,12,EnemyThinker,17039760.719014,"[ComputeIntent] BP_EnemyUnitBase_C_1: Calling GetNextStep from (39,16) to Player at (49,32)"
Warning,12,EnemyThinker,17039760.719023,"[ComputeIntent] BP_EnemyUnitBase_C_1: DF PlayerPos=(49,32), CurrentCellDist=730"
Warning,12,EnemyThinker,17039760.719034,"[ComputeIntent] BP_EnemyUnitBase_C_1: GetNextStep returned (38,16) (moved=1, NextDist=720)"
Warning,12,EnemyThinker,17039760.719046,"[ComputeIntent] BP_EnemyUnitBase_C_1: Neighbors: (40,16)=740 (38,16)=720 (39,17)=-1 (39,15)=-1 (40,17)=-1 (40,15)=-1 (38,17)=-1 (38,15)=-1 "
Log,12,EnemyThinker,17039760.719055,[ComputeIntent] BP_EnemyUnitBase_C_1: MOVE intent (TileDistance=16 > Range=1)
Log,12,EnemyAI,17039760.719065,"[ComputeIntent] Enemy=BP_EnemyUnitBase_C_1, Thinker found, Intent=AI.Intent.Move"
Log,12,EnemyThinker,17039760.719076,"[ComputeIntent] BP_EnemyUnitBase_C_2: Calling GetNextStep from (50,21) to Player at (49,32)"
Warning,12,EnemyThinker,17039760.719087,"[ComputeIntent] BP_EnemyUnitBase_C_2: DF PlayerPos=(49,32), CurrentCellDist=876"
Warning,12,EnemyThinker,17039760.719098,"[ComputeIntent] BP_EnemyUnitBase_C_2: GetNextStep returned (49,21) (moved=1, NextDist=858)"
Warning,12,EnemyThinker,17039760.719109,"[ComputeIntent] BP_EnemyUnitBase_C_2: Neighbors: (51,21)=886 (49,21)=858 (50,22)=-1 (50,20)=872 (51,22)=-1 (51,20)=890 (49,22)=-1 (49,20)=862 "
Log,12,EnemyThinker,17039760.719119,[ComputeIntent] BP_EnemyUnitBase_C_2: MOVE intent (TileDistance=11 > Range=1)
Log,12,EnemyAI,17039760.719131,"[ComputeIntent] Enemy=BP_EnemyUnitBase_C_2, Thinker found, Intent=AI.Intent.Move"
