Type,TurnID,Category,Timestamp,Message
SessionStart,0,Session,17030170.969316,=== SESSION 20251123-002022 STARTED ===
Log,0,LyraExperience,17030170.969334,"EXPERIENCE: OnExperienceLoadComplete(CurrentExperience = LyraExperienceDefinition:B_LyraTBS_Experience, Server)"
Log,0,TurnManager,17030170.969353,[TurnManager] OnExperienceLoaded
Warning,0,TurnInit,17030170.969369,InitializeGameTurnManager: START...
Log,0,TurnInit,17030170.969384,InitializeGameTurnManager: Found and added UDebugObserverCSV to DebugObservers.
Log,0,DebugObserver,17030170.969396,[CSV] Session 20251123-002022 started at 17030170.969316 (logs cleared)
Warning,0,TurnInit,17030170.969408,InitializeGameTurnManager: DungeonSys=000001C26EEE94C0
Log,0,TurnInit,17030170.969418,InitializeGameTurnManager: Subscribed to DungeonSys->OnGridReady
Log,0,TurnInit,17030170.969430,InitializeGameTurnManager: Triggering dungeon generation...
Warning,0,RogueDungeon,17030170.969442,★★★ [URogueDungeonSubsystem] START_GEN_V3 called (NEW BINARY) ★★★
Log,0,RogueDungeon,17030170.969456,"[URogueDungeonSubsystem] ConfigActor=BP_DungeonConfigActor_C_1, ConfigDA=/Game/Rogue/Systems/BP_RogueFloorConfigData.BP_RogueFloorConfigData"
Display,0,Temp,17030170.969468,"[RogueSubsystem] Generate START (Seed=2058, Map=64x64, Cell=100)"
Warning,0,Temp,17030170.969570,Dungeon attempt 1 rejected: produced 6 rooms (min required=12) with template DungeonTemplate_NormalBSP_0. Re-rolling...
Warning,0,Temp,17030170.969610,Dungeon attempt 2 rejected: produced 1 rooms (min required=12) with template DungeonTemplate_NormalBSP_0. Re-rolling...
Log,0,Temp,17030170.969860,"Dungeon GENERATED: Seed=FRandomStream(InitialSeed=2058, Seed=2149269551) Rooms=27 Walkable=948 Reach=100.0%"
Log,0,Temp,17030170.972789,"[DungeonRenderComponent] RenderDungeonFromFloor called. bRenderInGame=1, CellSize=100, DebugDrawMode=0"
Display,0,Temp,17030171.210835,"[RogueSubsystem] Generate DONE (Rooms=27, Walkable=948, Reach=100.0%)"
Log,0,TurnManager,17030171.210853,[TurnManager] HandleDungeonReady received
Log,0,TurnInit,17030171.210865,HandleDungeonReady: Creating UnitManager...
Log,0,TurnInit,17030171.210877,ResolveOrSpawnUnitManager: Found existing UnitManager: UnitManager_0
