Type,TurnID,Category,Timestamp,Message
SessionStart,0,Session,17014393.576063,=== SESSION 20251122-195725 STARTED ===
Log,0,TurnManager,17014393.576095,[TurnManager] OnExperienceLoaded
Display,0,Temp,17014393.576193,"[RogueSubsystem] Generate START (Seed=13155, Map=64x64, Cell=100)"
Display,0,Temp,17014393.791193,"[RogueSubsystem] Generate DONE (Rooms=6, Walkable=1065, Reach=100.0%)"
Log,0,TurnManager,17014393.791223,[TurnManager] HandleDungeonReady received
Log,0,GridPathfinding,17014393.791272,[GridPathfindingSubsystem] Origin set to: V(0)
Warning,0,Temp,17014393.791293,BuildUnits: Received 6 rooms. (bEnemiesSpawned reset to false)
Log,0,EnemyAI,17014393.791445,[CollectAllEnemies] GetAllActorsOfClass found 1 Pawns
Log,0,EnemyAI,17014393.791455,[CollectAllEnemies] ==== RESULT ==== found=1  collected=0  byGTag=0  byTeam=0  byActorTag=0
Log,0,TurnManager,17014393.791536,[TryStartFirstTurn] Waiting: PathReady=1 UnitsSpawned=1 PlayerPossessed=0 TurnStarted=0
Log,0,AttackAbility,17014393.791556,"[GA_AttackBase] Constructor: Registered trigger GameplayEvent.Intent.Attack, ActivationBlocked=2, ActivationOwned=1"
Warning,0,UnitBase,17014393.796692,[GrantAbilitySets] ⚠️ SKIP: ASC already has 4 abilities (granted by PawnExtension/HeroComponent?) for BP_PlayerUnit_C_0
Log,0,Temp,17014393.796869,[PlayerController] Calling OnTBSCharacterPossessed for: BP_PlayerUnit_C_0
Log,0,Temp,17014393.796880,UnitManager::OnTBSCharacterPossessed - Event received. PlayerStartRoom is at: X=3450.000 Y=5700.000 Z=0.000
Warning,0,Temp,17014393.797122,SpawnLocations: Searching for 1 spawns in room at X=3450.000 Y=5700.000 Z=0.000 with half-extents X=350.000 Y=400.000 Z=50.000
Log,0,Temp,17014393.797136,"SpawnLocations: Attempt 0 for spawn 0. Candidate: X=3350.000 Y=5550.000 Z=0.000, Cell: (33,55), Status: 3, Occupied: 0"
