Type,TurnID,Category,Timestamp,Message
SessionStart,0,Session,17029833.508835,=== SESSION 20251123-001445 STARTED ===
Log,0,TurnManager,17029833.508871,[TurnManager] OnExperienceLoaded
Warning,0,Temp,17029833.509004,Dungeon attempt 1 rejected: produced 1 rooms (min required=12) with template DungeonTemplate_NormalBSP_0. Re-rolling...
Display,0,Temp,17029833.732619,"[RogueSubsystem] Generate DONE (Rooms=43, Walkable=1171, Reach=100.0%)"
Log,0,TurnManager,17029833.732644,[TurnManager] HandleDungeonReady received
Log,0,GridPathfinding,17029833.732709,[GridPathfindingSubsystem] Origin set to: V(0)
Warning,0,Temp,17029833.732738,BuildUnits: Received 43 rooms. (bEnemiesSpawned reset to false)
Log,0,EnemyAI,17029833.732915,[CollectAllEnemies] GetAllActorsOfClass found 1 Pawns
Log,0,EnemyAI,17029833.732928,[CollectAllEnemies] ==== RESULT ==== found=1  collected=0  byGTag=0  byTeam=0  byActorTag=0
Log,0,TurnManager,17029833.733031,[TryStartFirstTurn] Waiting: PathReady=1 UnitsSpawned=1 PlayerPossessed=0 TurnStarted=0
Log,0,AttackAbility,17029833.733066,"[GA_AttackBase] Constructor: Registered trigger GameplayEvent.Intent.Attack, ActivationBlocked=2, ActivationOwned=1"
Log,0,BlueprintUserMessages,17029833.734270,[ABP_TBS_Mannequin_Base_C_0] false
Warning,0,UnitBase,17029833.736824,[GrantAbilitySets] ⚠️ SKIP: ASC already has 4 abilities (granted by PawnExtension/HeroComponent?) for BP_PlayerUnit_C_0
Log,0,Temp,17029833.737001,[PlayerController] Calling OnTBSCharacterPossessed for: BP_PlayerUnit_C_0
Log,0,Temp,17029833.737014,UnitManager::OnTBSCharacterPossessed - Event received. PlayerStartRoom is at: X=2400.000 Y=2750.000 Z=0.000
Warning,0,Temp,17029833.737202,SpawnLocations: Searching for 1 spawns in room at X=2400.000 Y=2750.000 Z=0.000 with half-extents X=100.000 Y=250.000 Z=50.000
Log,0,Temp,17029833.737216,"SpawnLocations: Attempt 0 for spawn 0. Candidate: X=2450.000 Y=2650.000 Z=0.000, Cell: (24,26), Status: 3, Occupied: 0"
Warning,0,Temp,17029833.737227,"SpawnLocations: Found valid spawn at X=2450.000 Y=2650.000 Z=0.000 (Cell: 24,26)"
Log,0,Temp,17029833.737238,UnitManager::OnTBSCharacterPossessed - Final Spawn Location: X=2450.000 Y=2650.000 Z=0.000
Display,0,UnitMovement,17029833.737302,[UnitMovementComponent] UpdateSpeedFromStats: PixelsPerSec 300.0 -> 600.0 (Stat=600.0)
Log,0,UnitBase,17029833.737314,"SetStatVars: Team=0, MovementRange=3"
Log,0,Temp,17029833.737326,[UnitManager] Set PlayerState LyraPlayerState_TBS_0 team id to 0 via IGenericTeamAgentInterface
Log,0,Temp,17029833.737338,[UnitManager] Registered player BP_PlayerUnit_C_0 to TeamSubsystem with TeamID=0 (Success=1)
Warning,0,Temp,17029833.737349,"[UnitManager::SpawnEnemyUnits] START - DesiredCount=-1, bEnemiesSpawned=0"
Log,0,Temp,17029833.737366,"[UnitManager] Calculated move stats: Dex=6 Con=6 -> MovementRange=1, NumberOfMoves=1, CurrentMovement=1"
Log,0,Temp,17029833.737377,"[UnitManager] Calculated move stats: Dex=5 Con=7 -> MovementRange=1, NumberOfMoves=1, CurrentMovement=1"
Log,0,Temp,17029833.737388,"[UnitManager] Calculated move stats: Dex=6 Con=6 -> MovementRange=1, NumberOfMoves=1, CurrentMovement=1"
Log,0,Temp,17029833.737399,"[UnitManager] Calculated move stats: Dex=5 Con=8 -> MovementRange=1, NumberOfMoves=2, CurrentMovement=2"
Log,0,Temp,17029833.737410,"[UnitManager] Calculated move stats: Dex=7 Con=6 -> MovementRange=1, NumberOfMoves=1, CurrentMovement=1"
Log,0,Temp,17029833.737420,[UnitManager::SpawnEnemyUnits] Spawning 5 enemies in PlayerStartRoom at X=2400.000 Y=2750.000 Z=0.000
Warning,0,Temp,17029833.737433,SpawnLocations: Searching for 5 spawns in room at X=2400.000 Y=2750.000 Z=0.000 with half-extents X=100.000 Y=250.000 Z=50.000
Log,0,Temp,17029833.737445,"SpawnLocations: Attempt 0 for spawn 0. Candidate: X=2350.000 Y=2950.000 Z=0.000, Cell: (23,29), Status: 3, Occupied: 0"
Warning,0,Temp,17029833.737456,"SpawnLocations: Found valid spawn at X=2350.000 Y=2950.000 Z=0.000 (Cell: 23,29)"
Log,0,Temp,17029833.737484,"SpawnLocations: Attempt 0 for spawn 1. Candidate: X=2450.000 Y=2650.000 Z=0.000, Cell: (24,26), Status: 3, Occupied: 1"
Log,0,Temp,17029833.737497,"SpawnLocations: Attempt 1 for spawn 1. Candidate: X=2450.000 Y=2850.000 Z=0.000, Cell: (24,28), Status: 4, Occupied: 0"
Warning,0,Temp,17029833.737510,"SpawnLocations: Found valid spawn at X=2450.000 Y=2850.000 Z=0.000 (Cell: 24,28)"
Log,0,Temp,17029833.737522,"SpawnLocations: Attempt 0 for spawn 2. Candidate: X=2350.000 Y=2850.000 Z=0.000, Cell: (23,28), Status: 3, Occupied: 0"
Warning,0,Temp,17029833.737533,"SpawnLocations: Found valid spawn at X=2350.000 Y=2850.000 Z=0.000 (Cell: 23,28)"
Log,0,Temp,17029833.737544,"SpawnLocations: Attempt 0 for spawn 3. Candidate: X=2450.000 Y=2550.000 Z=0.000, Cell: (24,25), Status: 4, Occupied: 0"
Warning,0,Temp,17029833.737555,"SpawnLocations: Found valid spawn at X=2450.000 Y=2550.000 Z=0.000 (Cell: 24,25)"
Log,0,Temp,17029833.737566,"SpawnLocations: Attempt 0 for spawn 4. Candidate: X=2350.000 Y=2650.000 Z=0.000, Cell: (23,26), Status: 3, Occupied: 0"
Warning,0,Temp,17029833.737576,"SpawnLocations: Found valid spawn at X=2350.000 Y=2650.000 Z=0.000 (Cell: 23,26)"
Log,0,Temp,17029833.737587,[UnitManager::SpawnEnemyUnits] Found 5 spawn locations in PlayerStartRoom
Log,0,Temp,17029833.737597,"[UnitManager::SpawnEnemyUnits] Spawning enemy at: X=2350.000 Y=2950.000 Z=44.500 (Z=44.50, HalfHeight=44.00)"
Log,0,EnemyUnit,17029833.737609,[Constructor] ASC created for enemy unit (deferred controller spawn enabled)
Log,0,BlueprintUserMessages,17029833.738226,[ABP_TBS_Mannequin_Base_C_0] false
Log,0,AIController,17029833.740188,"[LyraTBSAIController] Constructor: bWantsPlayerState=true, TeamId=NoTeam"
Log,0,AttackAbility,17029833.740315,"[GA_AttackBase] Constructor: Registered trigger GameplayEvent.Intent.Attack, ActivationBlocked=2, ActivationOwned=1"
Display,0,EnemyUnit,17029833.740599,[PossessedBy] EnemyPawnData=TBS_EnemyPawnData (before Super)
Log,0,EnemyUnit,17029833.740613,[PossessedBy] ✅ SetPawnData before Super: TBS_EnemyPawnData
Log,0,AttackAbility,17029833.740657,"[GA_AttackBase] Constructor: Registered trigger GameplayEvent.Intent.Attack, ActivationBlocked=2, ActivationOwned=1"
Log,0,EnemyUnit,17029833.740673,[GrantAbilitySets] AbilitySet granted: AS_TBS_UnitCore for BP_EnemyUnitBase_C_0
Log,0,EnemyUnit,17029833.740689,[GrantAbilitySets] ✅ Abilities=4 AttrSets=2 for BP_EnemyUnitBase_C_0
Log,0,EnemyThinker,17029833.740952,[EnemyThinker] UGridPathfindingSubsystem cached
Log,0,EnemyThinker,17029833.740962,[EnemyThinker] UGridPathfindingSubsystem cached
Display,0,UnitMovement,17029833.741188,[UnitMovementComponent] UpdateSpeedFromStats: PixelsPerSec 300.0 -> 600.0 (Stat=600.0)
Log,0,UnitBase,17029833.741202,"SetStatVars: Team=2, MovementRange=3"
Log,0,Temp,17029833.741218,[UnitManager] Registered enemy BP_EnemyUnitBase_C_0 to TeamSubsystem with TeamID=2 (Success=1)
Log,0,Temp,17029833.741229,[UnitManager::SpawnEnemyUnits] Successfully spawned enemy 1/5: BP_EnemyUnitBase_C_0
Log,0,Temp,17029833.741241,"[UnitManager::SpawnEnemyUnits] Spawning enemy at: X=2450.000 Y=2850.000 Z=44.500 (Z=44.50, HalfHeight=44.00)"
Log,0,EnemyUnit,17029833.741303,[Constructor] ASC created for enemy unit (deferred controller spawn enabled)
Log,0,BlueprintUserMessages,17029833.742065,[ABP_TBS_Mannequin_Base_C_0] false
Log,0,AIController,17029833.744321,"[LyraTBSAIController] Constructor: bWantsPlayerState=true, TeamId=NoTeam"
Log,0,AttackAbility,17029833.744422,"[GA_AttackBase] Constructor: Registered trigger GameplayEvent.Intent.Attack, ActivationBlocked=2, ActivationOwned=1"
Display,0,EnemyUnit,17029833.744703,[PossessedBy] EnemyPawnData=TBS_EnemyPawnData (before Super)
Log,0,EnemyUnit,17029833.744721,[PossessedBy] ✅ SetPawnData before Super: TBS_EnemyPawnData
Log,0,AttackAbility,17029833.744737,"[GA_AttackBase] Constructor: Registered trigger GameplayEvent.Intent.Attack, ActivationBlocked=2, ActivationOwned=1"
Log,0,EnemyUnit,17029833.744751,[GrantAbilitySets] AbilitySet granted: AS_TBS_UnitCore for BP_EnemyUnitBase_C_1
Log,0,EnemyUnit,17029833.744764,[GrantAbilitySets] ✅ Abilities=4 AttrSets=2 for BP_EnemyUnitBase_C_1
Log,0,EnemyThinker,17029833.745037,[EnemyThinker] UGridPathfindingSubsystem cached
Log,0,EnemyThinker,17029833.745047,[EnemyThinker] UGridPathfindingSubsystem cached
Display,0,UnitMovement,17029833.746604,[UnitMovementComponent] UpdateSpeedFromStats: PixelsPerSec 300.0 -> 600.0 (Stat=600.0)
Log,0,UnitBase,17029833.746620,"SetStatVars: Team=2, MovementRange=3"
Log,0,Temp,17029833.746633,[UnitManager] Registered enemy BP_EnemyUnitBase_C_1 to TeamSubsystem with TeamID=2 (Success=1)
Log,0,Temp,17029833.746648,[UnitManager::SpawnEnemyUnits] Successfully spawned enemy 2/5: BP_EnemyUnitBase_C_1
Log,0,Temp,17029833.746661,"[UnitManager::SpawnEnemyUnits] Spawning enemy at: X=2350.000 Y=2850.000 Z=44.500 (Z=44.50, HalfHeight=44.00)"
Log,0,EnemyUnit,17029833.746712,[Constructor] ASC created for enemy unit (deferred controller spawn enabled)
Log,0,BlueprintUserMessages,17029833.747480,[ABP_TBS_Mannequin_Base_C_0] false
Log,0,AIController,17029833.749473,"[LyraTBSAIController] Constructor: bWantsPlayerState=true, TeamId=NoTeam"
Log,0,AttackAbility,17029833.749584,"[GA_AttackBase] Constructor: Registered trigger GameplayEvent.Intent.Attack, ActivationBlocked=2, ActivationOwned=1"
Display,0,EnemyUnit,17029833.749834,[PossessedBy] EnemyPawnData=TBS_EnemyPawnData (before Super)
Log,0,EnemyUnit,17029833.749848,[PossessedBy] ✅ SetPawnData before Super: TBS_EnemyPawnData
Log,0,AttackAbility,17029833.749882,"[GA_AttackBase] Constructor: Registered trigger GameplayEvent.Intent.Attack, ActivationBlocked=2, ActivationOwned=1"
Log,0,EnemyUnit,17029833.749898,[GrantAbilitySets] AbilitySet granted: AS_TBS_UnitCore for BP_EnemyUnitBase_C_2
Log,0,EnemyUnit,17029833.749911,[GrantAbilitySets] ✅ Abilities=4 AttrSets=2 for BP_EnemyUnitBase_C_2
Log,0,EnemyThinker,17029833.750186,[EnemyThinker] UGridPathfindingSubsystem cached
Log,0,EnemyThinker,17029833.750198,[EnemyThinker] UGridPathfindingSubsystem cached
Display,0,UnitMovement,17029833.750666,[UnitMovementComponent] UpdateSpeedFromStats: PixelsPerSec 300.0 -> 600.0 (Stat=600.0)
Log,0,UnitBase,17029833.750680,"SetStatVars: Team=2, MovementRange=3"
Log,0,Temp,17029833.750695,[UnitManager] Registered enemy BP_EnemyUnitBase_C_2 to TeamSubsystem with TeamID=2 (Success=1)
Log,0,Temp,17029833.750709,[UnitManager::SpawnEnemyUnits] Successfully spawned enemy 3/5: BP_EnemyUnitBase_C_2
Log,0,Temp,17029833.750724,"[UnitManager::SpawnEnemyUnits] Spawning enemy at: X=2450.000 Y=2550.000 Z=44.500 (Z=44.50, HalfHeight=44.00)"
Log,0,EnemyUnit,17029833.750775,[Constructor] ASC created for enemy unit (deferred controller spawn enabled)
Log,0,BlueprintUserMessages,17029833.751468,[ABP_TBS_Mannequin_Base_C_0] false
Log,0,AIController,17029833.753397,"[LyraTBSAIController] Constructor: bWantsPlayerState=true, TeamId=NoTeam"
Log,0,AttackAbility,17029833.753495,"[GA_AttackBase] Constructor: Registered trigger GameplayEvent.Intent.Attack, ActivationBlocked=2, ActivationOwned=1"
Display,0,EnemyUnit,17029833.753772,[PossessedBy] EnemyPawnData=TBS_EnemyPawnData (before Super)
Log,0,EnemyUnit,17029833.753784,[PossessedBy] ✅ SetPawnData before Super: TBS_EnemyPawnData
Log,0,AttackAbility,17029833.753801,"[GA_AttackBase] Constructor: Registered trigger GameplayEvent.Intent.Attack, ActivationBlocked=2, ActivationOwned=1"
Log,0,EnemyUnit,17029833.753832,[GrantAbilitySets] AbilitySet granted: AS_TBS_UnitCore for BP_EnemyUnitBase_C_3
