Type,TurnID,Category,Timestamp,Message
Log,42,UnitMovement,17034452.961924,[UnitMovementComponent] Movement finished and snapped. (RetryCount=0)
Log,43,TurnInit,17034452.962607,[Turn 43] Enemy roster updated: 5 -> 5
Warning,43,TurnInit,17034452.962621,[Turn 43] ==== TurnInitialization START ====
Log,43,TurnInit,17034452.962641,[Turn 43] GridOccupancy initialized with 6 units
Warning,43,MoveAbility,17034452.973224,[GA_MoveBase] BP_PlayerUnit_C_0: Sent GameplayEvent Event_Dungeon_Step START (ResolvedCell)
Log,43,MoveAbility,17034452.973265,"[GA_MoveBase] Starting move to resolved cell: Target=(48,18) Actor=BP_PlayerUnit_C_0 Magnitude=4196498"
Log,43,UnitBase,17034452.973293,[MoveUnit] BP_PlayerUnit_C_0: Delegating to MovementComponent (PathNum=1)
Log,43,UnitMovement,17034452.973306,[UnitMovementComponent] Movement started with 1 waypoints
Log,43,GridOccupancy,17034452.973319,"[GridOccupancy] RESERVE DEST: BP_PlayerUnit_C_0 -> (48, 18) (TurnId=43)"
Log,43,TurnManager,17034452.973333,"[TurnCommandHandler] Player move reserved (48,18) - triggering enemy phase for simultaneous movement."
Log,43,TurnManager,17034452.973348,"[Turn 43] ExecuteEnemyPhase: Using RESERVED PlayerTargetCell=(48,18)"
Log,43,TurnManager,17034452.973803,[Turn 43] ExecuteSimultaneousPhase: Processing 5 intents via CoreResolvePhase
Log,43,TurnCore,17034452.973816,"[TurnCore] ResolvePhase: Resolved 5 actions, Hash=0x0D2354CE"
Log,43,GridOccupancy,17034452.973830,"[GridOccupancy] RESERVE DEST: BP_EnemyUnitBase_C_4 -> (32, 16) (TurnId=43)"
Log,43,GridOccupancy,17034452.973849,"[GridOccupancy] RESERVE DEST: BP_EnemyUnitBase_C_1 -> (33, 16) (TurnId=43)"
Log,43,GridOccupancy,17034452.973862,"[GridOccupancy] RESERVE DEST: BP_EnemyUnitBase_C_3 -> (35, 16) (TurnId=43)"
Log,43,GridOccupancy,17034452.973874,"[GridOccupancy] RESERVE DEST: BP_EnemyUnitBase_C_2 -> (48, 16) (TurnId=43)"
Log,43,GridOccupancy,17034452.973891,"[GridOccupancy] RESERVE DEST: BP_EnemyUnitBase_C_0 -> (48, 17) (TurnId=43)"
Log,43,TurnManager,17034452.973907,[Turn 43] ExecuteSimultaneousPhase: CoreResolvePhase produced 5 resolved actions
Log,43,UnitBase,17034452.973923,[MoveUnit] BP_EnemyUnitBase_C_4: Delegating to MovementComponent (PathNum=1)
Log,43,UnitMovement,17034452.973938,[UnitMovementComponent] Movement started with 1 waypoints
Log,43,MoveReservation,17034452.973954,"[DispatchResolvedMove] Registered enemy move: Actor=BP_EnemyUnitBase_C_4, TurnId=43, ActionId=3084118749476DED979611983779ED21"
Log,43,UnitBase,17034452.973968,[MoveUnit] BP_EnemyUnitBase_C_1: Delegating to MovementComponent (PathNum=1)
Log,43,UnitMovement,17034452.973979,[UnitMovementComponent] Movement started with 1 waypoints
Log,43,MoveReservation,17034452.973993,"[DispatchResolvedMove] Registered enemy move: Actor=BP_EnemyUnitBase_C_1, TurnId=43, ActionId=2F39BDB747B4EEBD57F924B38BC9E7CF"
Log,43,UnitBase,17034452.974005,[MoveUnit] BP_EnemyUnitBase_C_3: Delegating to MovementComponent (PathNum=1)
Log,43,UnitMovement,17034452.974016,[UnitMovementComponent] Movement started with 1 waypoints
Log,43,MoveReservation,17034452.974030,"[DispatchResolvedMove] Registered enemy move: Actor=BP_EnemyUnitBase_C_3, TurnId=43, ActionId=501AD0954CA2EC7A0EB2239517401A90"
Log,43,UnitBase,17034452.974041,[MoveUnit] BP_EnemyUnitBase_C_2: Delegating to MovementComponent (PathNum=1)
Log,43,UnitMovement,17034452.974051,[UnitMovementComponent] Movement started with 1 waypoints
Log,43,MoveReservation,17034452.974062,"[DispatchResolvedMove] Registered enemy move: Actor=BP_EnemyUnitBase_C_2, TurnId=43, ActionId=303FA702490D96DE66C939B48C2F9D9C"
Log,43,UnitBase,17034452.974073,[MoveUnit] BP_EnemyUnitBase_C_0: Delegating to MovementComponent (PathNum=1)
Log,43,UnitMovement,17034452.974084,[UnitMovementComponent] Movement started with 1 waypoints
Log,43,MoveReservation,17034452.974095,"[DispatchResolvedMove] Registered enemy move: Actor=BP_EnemyUnitBase_C_0, TurnId=43, ActionId=39F0C0A140D960FB17324BA456CBE9FD"
Log,43,TurnManager,17034452.974104,[Turn 43] ExecuteSimultaneousPhase complete - 5 movements dispatched
Log,43,GridOccupancy,17034453.128961,"[GridOccupancy] COMMIT: BP_EnemyUnitBase_C_1 -> (33,16)"
Log,43,MoveReservation,17034453.128980,[HandleManualMoveFinished] Completed barrier for BP_EnemyUnitBase_C_1 TurnId=43
Log,43,UnitMovement,17034453.128994,[UnitMovementComponent] Movement finished and snapped. (RetryCount=0)
Log,43,GridOccupancy,17034453.129094,"[GridOccupancy] COMMIT: BP_EnemyUnitBase_C_4 -> (32,16)"
Log,43,MoveReservation,17034453.129106,[HandleManualMoveFinished] Completed barrier for BP_EnemyUnitBase_C_4 TurnId=43
Log,43,UnitMovement,17034453.129116,[UnitMovementComponent] Movement finished and snapped. (RetryCount=0)
Log,43,GridOccupancy,17034453.129955,"[GridOccupancy] COMMIT: BP_EnemyUnitBase_C_3 -> (35,16)"
Log,43,MoveReservation,17034453.129972,[HandleManualMoveFinished] Completed barrier for BP_EnemyUnitBase_C_3 TurnId=43
Log,43,UnitMovement,17034453.129983,[UnitMovementComponent] Movement finished and snapped. (RetryCount=0)
Log,43,GridOccupancy,17034453.197754,"[GridOccupancy] COMMIT: BP_EnemyUnitBase_C_0 -> (48,17)"
Log,43,MoveReservation,17034453.197774,[HandleManualMoveFinished] Completed barrier for BP_EnemyUnitBase_C_0 TurnId=43
Log,43,UnitMovement,17034453.197786,[UnitMovementComponent] Movement finished and snapped. (RetryCount=0)
Log,43,GridOccupancy,17034453.197921,"[GridOccupancy] COMMIT: BP_EnemyUnitBase_C_2 -> (48,16)"
Log,43,MoveReservation,17034453.197938,[HandleManualMoveFinished] Completed barrier for BP_EnemyUnitBase_C_2 TurnId=43
Log,43,UnitMovement,17034453.197951,[UnitMovementComponent] Movement finished and snapped. (RetryCount=0)
Log,43,GridOccupancy,17034453.198025,"[GridOccupancy] COMMIT: BP_PlayerUnit_C_0 -> (48,18)"
Log,43,TurnManager,17034453.198144,Turn 43: OnPlayerMoveCompleted Tag=Gameplay.Event.Turn.Ability.Completed
Log,43,TurnManager,17034453.198216,[Turn 43] Player action complete - enemy phase already in progress (skipping redundant AI calc)
Log,43,UnitMovement,17034453.198234,[UnitMovementComponent] Movement finished and snapped. (RetryCount=0)
Log,44,TurnInit,17034453.198863,[Turn 44] Enemy roster updated: 5 -> 5
Warning,44,TurnInit,17034453.198873,[Turn 44] ==== TurnInitialization START ====
Log,44,TurnInit,17034453.198893,[Turn 44] GridOccupancy initialized with 6 units
Warning,44,MoveAbility,17034453.208379,[GA_MoveBase] BP_PlayerUnit_C_0: Sent GameplayEvent Event_Dungeon_Step START (ResolvedCell)
Log,44,MoveAbility,17034453.208393,"[GA_MoveBase] Starting move to resolved cell: Target=(47,19) Actor=BP_PlayerUnit_C_0 Magnitude=4194451"
Log,44,UnitBase,17034453.208419,[MoveUnit] BP_PlayerUnit_C_0: Delegating to MovementComponent (PathNum=1)
Log,44,UnitMovement,17034453.208432,[UnitMovementComponent] Movement started with 1 waypoints
Log,44,GridOccupancy,17034453.208446,"[GridOccupancy] RESERVE DEST: BP_PlayerUnit_C_0 -> (47, 19) (TurnId=44)"
Log,44,TurnManager,17034453.208461,"[TurnCommandHandler] Player move reserved (47,19) - triggering enemy phase for simultaneous movement."
Log,44,TurnManager,17034453.208474,"[Turn 44] ExecuteEnemyPhase: Using RESERVED PlayerTargetCell=(47,19)"
Log,44,TurnManager,17034453.208881,[Turn 44] ExecuteSimultaneousPhase: Processing 5 intents via CoreResolvePhase
Log,44,TurnCore,17034453.208895,"[TurnCore] ResolvePhase: Resolved 5 actions, Hash=0x376BC7C5"
Log,44,GridOccupancy,17034453.208910,"[GridOccupancy] RESERVE DEST: BP_EnemyUnitBase_C_4 -> (33, 16) (TurnId=44)"
Log,44,GridOccupancy,17034453.208922,"[GridOccupancy] RESERVE DEST: BP_EnemyUnitBase_C_1 -> (34, 16) (TurnId=44)"
Log,44,GridOccupancy,17034453.208941,"[GridOccupancy] RESERVE DEST: BP_EnemyUnitBase_C_3 -> (36, 16) (TurnId=44)"
Log,44,GridOccupancy,17034453.208954,"[GridOccupancy] RESERVE DEST: BP_EnemyUnitBase_C_2 -> (47, 17) (TurnId=44)"
Log,44,GridOccupancy,17034453.208967,"[GridOccupancy] RESERVE DEST: BP_EnemyUnitBase_C_0 -> (47, 18) (TurnId=44)"
Log,44,TurnManager,17034453.208988,[Turn 44] ExecuteSimultaneousPhase: CoreResolvePhase produced 5 resolved actions
Log,44,UnitBase,17034453.209001,[MoveUnit] BP_EnemyUnitBase_C_4: Delegating to MovementComponent (PathNum=1)
Log,44,UnitMovement,17034453.209015,[UnitMovementComponent] Movement started with 1 waypoints
Log,44,MoveReservation,17034453.209031,"[DispatchResolvedMove] Registered enemy move: Actor=BP_EnemyUnitBase_C_4, TurnId=44, ActionId=C47C31434F0B6218222F3493344E5B7C"
Log,44,UnitBase,17034453.209041,[MoveUnit] BP_EnemyUnitBase_C_1: Delegating to MovementComponent (PathNum=1)
Log,44,UnitMovement,17034453.209055,[UnitMovementComponent] Movement started with 1 waypoints
Log,44,MoveReservation,17034453.209069,"[DispatchResolvedMove] Registered enemy move: Actor=BP_EnemyUnitBase_C_1, TurnId=44, ActionId=B11890584F543511556BC299E7C77FF5"
Log,44,UnitBase,17034453.209082,[MoveUnit] BP_EnemyUnitBase_C_3: Delegating to MovementComponent (PathNum=1)
Log,44,UnitMovement,17034453.209094,[UnitMovementComponent] Movement started with 1 waypoints
Log,44,MoveReservation,17034453.209108,"[DispatchResolvedMove] Registered enemy move: Actor=BP_EnemyUnitBase_C_3, TurnId=44, ActionId=26C5E0314C57F0A399376384E43E1E22"
Log,44,UnitBase,17034453.209122,[MoveUnit] BP_EnemyUnitBase_C_2: Delegating to MovementComponent (PathNum=1)
