Type,TurnID,Category,Timestamp,Message
SessionStart,0,Session,17037991.063989,=== SESSION 20251123-023042 STARTED ===
Log,0,TurnManager,17037991.063996,[TurnManager] OnExperienceLoaded
Warning,0,TurnInit,17037991.064008,InitializeGameTurnManager: START...
Log,0,TurnInit,17037991.064018,InitializeGameTurnManager: Found and added UDebugObserverCSV to DebugObservers.
Log,0,DebugObserver,17037991.064029,[CSV] Session 20251123-023042 started at 17037991.063989 (logs cleared)
Warning,0,TurnInit,17037991.064039,InitializeGameTurnManager: DungeonSys=000001F24D95B180
Log,0,TurnInit,17037991.064056,InitializeGameTurnManager: Triggering dungeon generation...
Log,0,Temp,17037991.064273,"Dungeon GENERATED: Seed=FRandomStream(InitialSeed=2639, Seed=3584639430) Rooms=6 Walkable=752 Reach=100.0%"
Display,0,Temp,17037991.306828,"[RogueSubsystem] Generate DONE (Rooms=6, Walkable=752, Reach=100.0%)"
Log,0,TurnManager,17037991.306862,[TurnManager] HandleDungeonReady received
Log,0,TurnInit,17037991.306874,HandleDungeonReady: Creating UnitManager...
Log,0,TurnInit,17037991.306898,ResolveOrSpawnUnitManager: Found existing UnitManager: UnitManager_0
Warning,0,TurnInit,17037991.306938,[PF.Init] Size=64x64 Cell=100
Log,0,TurnInit,17037991.307004,"HandleDungeonReady: Completed, initializing turn system..."
Log,0,TurnManager,17037991.307011,InitializeTurnSystem: Starting...
Log,0,TurnManager,17037991.307019,[Turn 0] InitializeTurnSystem: Barrier::BeginTurn(0) called
Log,0,TurnManager,17037991.307038,InitializeTurnSystem: PlayerPawn found: SpectatorPawn_0
Warning,0,TurnManager,17037991.307046,"InitializeTurnSystem: SpectatorPawn detected, searching for BPPlayerUnit..."
Warning,0,TurnManager,17037991.307055,InitializeTurnSystem: Could not find/possess BPPlayerUnit (may be possessed later)
Log,0,EnemyAI,17037991.307078,[CollectAllEnemies] GetAllActorsOfClass found 1 Pawns
Log,0,EnemyAI,17037991.307088,[CollectAllEnemies] ==== RESULT ==== found=1  collected=0  byGTag=0  byTeam=0  byActorTag=0
Log,0,TurnManager,17037991.307095,InitializeTurnSystem: CollectEnemies completed (0 enemies)
Log,0,TurnManager,17037991.307103,InitializeTurnSystem: Subsystems initialized (EnemyAI + EnemyTurnData)
Log,0,TurnManager,17037991.307110,InitializeTurnSystem: Barrier delegate bound to HandleMovePhaseCompleted
Log,0,TurnManager,17037991.307117,InitializeTurnSystem: AttackExecutor delegate bound
Log,0,TurnManager,17037991.307124,InitializeTurnSystem: Bound to Gameplay.Event.Turn.Ability.Completed event
Log,0,TurnManager,17037991.307133,InitializeTurnSystem: Initialization completed successfully
Log,0,TurnManager,17037991.307141,InitializeTurnSystem: Initialization completed successfully
Log,0,TurnManager,17037991.307148,[TryStartFirstTurn] Waiting: PathReady=1 UnitsSpawned=1 PlayerPossessed=0 TurnStarted=0
Log,0,TurnInit,17037991.307157,InitializeGameTurnManager: Ready for HandleDungeonReady
Log,0,AttackAbility,17037991.307268,"[GA_AttackBase] Constructor: Registered trigger GameplayEvent.Intent.Attack, ActivationBlocked=2, ActivationOwned=1"
Display,0,UnitMovement,17037991.315226,[UnitMovementComponent] UpdateSpeedFromStats: PixelsPerSec 300.0 -> 600.0 (Stat=600.0)
Log,0,UnitBase,17037991.315234,"SetStatVars: Team=0, MovementRange=3"
Log,0,Temp,17037991.315277,[UnitManager] Set PlayerState LyraPlayerState_TBS_0 team id to 0 via IGenericTeamAgentInterface
Log,0,Temp,17037991.315489,"[UnitManager::SpawnEnemyUnits] Spawning enemy at: X=4450.000 Y=1650.000 Z=44.500 (Z=44.50, HalfHeight=44.00)"
Log,0,EnemyUnit,17037991.315512,[Constructor] ASC created for enemy unit (deferred controller spawn enabled)
Log,0,AIController,17037991.318369,"[LyraTBSAIController] Constructor: bWantsPlayerState=true, TeamId=NoTeam"
Log,0,AttackAbility,17037991.318605,"[GA_AttackBase] Constructor: Registered trigger GameplayEvent.Intent.Attack, ActivationBlocked=2, ActivationOwned=1"
Display,0,EnemyUnit,17037991.318733,[PossessedBy] EnemyPawnData=TBS_EnemyPawnData (before Super)
Log,0,EnemyUnit,17037991.318742,[PossessedBy] ✅ SetPawnData before Super: TBS_EnemyPawnData
Log,0,AttackAbility,17037991.318767,"[GA_AttackBase] Constructor: Registered trigger GameplayEvent.Intent.Attack, ActivationBlocked=2, ActivationOwned=1"
Log,0,EnemyUnit,17037991.318870,[PossessedBy] ✅ ASC initialized via PawnExtension (Owner=BP_EnemyUnitBase_C_0)
Log,0,EnemyUnit,17037991.318880,[PossessedBy] ========== END: BP_EnemyUnitBase_C_0 ==========
Log,0,AIController,17037991.319006,"[LyraTBSAIController] OnPossess: Pawn=BP_EnemyUnitBase_C_0, PlayerState=LyraPlayerState_TBS_1"
Log,0,AIController,17037991.319018,[LyraTBSAIController] LyraTBSAIController_0 SetGenericTeamId: 255 -> 2
Log,0,AIController,17037991.319026,[LyraTBSAIController] OnPossess: TeamId set from NoTeam(255) to Enemy(2)
Log,0,AIController,17037991.319038,"[LyraTBSAIController] InitializeASC: Server-side ASC initialized for Pawn=BP_EnemyUnitBase_C_0, PlayerState=LyraPlayerState_TBS_1"
