Type,TurnID,Category,Timestamp,Message
Log,0,UnitMovement,17036529.476582,[UnitMovementComponent] Movement finished and snapped. (RetryCount=0)
Log,0,TurnBarrier,17036529.476978,[Barrier] Broadcasting OnAllMovesFinished for Turn 0
Log,0,TurnManager,17036529.476999,[Turn 0] Barrier complete - all move actions finished (EnemyPhaseInProgress=1)
Log,0,TurnManager,17036529.477019,[Turn 0] Enemy phase complete. Ending turn.
Log,1,Temp,17036529.477033,[PlayerInputProcessor] Gate CLOSED (tags removed)
Warning,1,TurnManager,17036529.477045,[Turn 0] ==== EndEnemyTurn ====
Log,1,TurnAdvanceGuard,17036529.477056,"[CanAdvanceTurn] OK: Turn=0 (Barrier=Quiet, InProgress=0)"
Log,1,TurnManager,17036529.477068,[AdvanceTurnAndRestart] Current Turn: 0
Log,1,TurnAdvanceGuard,17036529.477080,"[CanAdvanceTurn] OK: Turn=0 (Barrier=Quiet, InProgress=0)"
Log,1,TurnCore,17036529.477094,[TurnCore] CleanupPhase: Complete
Log,1,TurnManager,17036529.477107,[AdvanceTurnAndRestart] CoreCleanupPhase completed
Log,1,TurnFlow,17036529.477118,[TurnFlowCoordinator] Turn ended: TurnId=0
Log,1,TurnFlow,17036529.477135,"[TurnFlowCoordinator] Turn advanced: TurnId=1, TurnIndex=1"
Log,1,TurnManager,17036529.477148,[AdvanceTurnAndRestart] Turn advanced: 0 -> 1 (bEndTurnPosted reset)
Log,1,TurnManager,17036529.477161,[AdvanceTurnAndRestart] Barrier::BeginTurn(1) called
Log,1,TurnManager,17036529.477176,[AdvanceTurnAndRestart] OnTurnStarted broadcasted for turn 1
Warning,1,TurnInit,17036529.477188,[Turn 1] ==== OnTurnStarted (Subsystem) START ====
Log,1,TurnInit,17036529.477198,[Turn 1] ClearResidualInProgressTags called
Log,1,EnemyAI,17036529.477210,[CollectAllEnemies] ==== START ====
Log,1,EnemyAI,17036529.477231,[CollectAllEnemies] GetAllActorsOfClass found 6 Pawns
Log,1,EnemyAI,17036529.477251,"[CollectAllEnemies] Added[0]: BP_EnemyUnitBase_C_0 (TeamId=2, GTag=1, ByTeam=1, ActorTag=1)"
Log,1,EnemyAI,17036529.477263,"[CollectAllEnemies] Added[1]: BP_EnemyUnitBase_C_1 (TeamId=2, GTag=1, ByTeam=1, ActorTag=1)"
Log,1,EnemyAI,17036529.477275,"[CollectAllEnemies] Added[2]: BP_EnemyUnitBase_C_2 (TeamId=2, GTag=1, ByTeam=1, ActorTag=1)"
Log,1,EnemyAI,17036529.477287,[CollectAllEnemies] ==== RESULT ==== found=6  collected=5  byGTag=5  byTeam=5  byActorTag=5
Log,1,TurnInit,17036529.477298,[Turn 1] Enemy roster updated: 5 -> 5
Warning,1,TurnInit,17036529.477310,[Turn 1] ==== TurnInitialization START ====
Log,1,TurnInit,17036529.477323,[Turn 1] PurgeOutdatedReservations called at turn start (before player input)
Log,1,TurnInit,17036529.477336,[Turn 1] GridOccupancy initialized with 6 units
Log,1,TurnInit,17036529.477346,[Turn 1] Skipped initial DistanceField update (will be updated in ExecuteEnemyPhase)
Log,1,TurnInit,17036529.477357,[Turn 1] Skipped preliminary intent generation (will be generated in ExecuteEnemyPhase)
Warning,1,TurnInit,17036529.477367,[Turn 1] ==== TurnInitialization END ====
Warning,1,TurnInit,17036529.477377,[Turn 1] ==== OnTurnStarted (Subsystem) END ====
Log,1,TurnFlow,17036529.477389,"[TFC] OpenNewInputWindow: TurnId=1, WindowId=2"
Log,1,Temp,17036529.477398,[PlayerInputProcessor] Gate OPENED (tags added)
Log,1,Temp,17036529.477408,"[PIP] OpenInputWindow: TurnId=1, WindowId=2"
Log,1,TurnManager,17036529.477420,[TurnCommandHandler] Input window opened: WindowId=2
Warning,1,TurnManager,17036529.477432,[Client] OnRep_WaitingForPlayerInput: 1
Log,1,Temp,17036529.477442,[PlayerInputProcessor] Gate OPENED (tags added)
Log,1,TurnManager,17036529.477488,[Turn 1] Client: Gate OPENED after replication (WindowId=2)
Warning,1,Temp,17036529.477502,"[Client] OnRep: Window OPEN, gate reset"
Log,1,TurnManager,17036529.477513,[Turn 1] OnTurnStartedHandler: Player input window opened
Warning,1,Temp,17036529.487516,"[Client_Tick] Input window change detected (Prev=1, Now=2) -> latch reset (WinId=2)"
Log,1,Temp,17036531.218759,"[PlayerController] TurnFacing direction cached: (1.00, 0.00)"
Warning,1,Temp,17036531.218782,[Client] Input_Move_Triggered fired
Warning,1,Temp,17036531.218802,"[Client] Input_Move_Triggered: bWaitingReplicated=1, bGateOpenClient=1, bSentThisInputWindow=0, WindowId=2"
Warning,1,Temp,17036531.218829,"[Client] ✅ Input PASSED all guards, preparing to send command"
Log,1,Temp,17036531.218841,[Client] Command created: TurnId=1 (from TurnManager) WindowId=2
Warning,1,Temp,17036531.218856,"[Client] 📤 Latch SET (before RPC): bSentThisInputWindow=TRUE, WindowId=2"
Warning,1,Temp,17036531.218870,[Server] ☁ESubmitCommand RPC RECEIVED
Warning,1,Temp,17036531.218885,"[Server] Client sent WindowId=2, TurnId=1, Tag=InputTag.Move, Dir=(1.0, 0.0)"
Log,1,Temp,17036531.218897,[Server] WindowId validated: 2
Log,1,TurnManager,17036531.218913,"[TurnCommandHandler] Command validated: Tag=InputTag.Move, TurnId=1, WindowId=2"
Log,1,TurnManager,17036531.218926,"[TurnCommandHandler] Command received and validated: TurnId=1, Tag=InputTag.Move, TargetCell=(15,54)"
Log,1,TurnManager,17036531.218940,"[TurnCommandHandler] Command marked as accepted: TurnId=1, Tag=InputTag.Move"
Log,1,Temp,17036531.218954,[Client] COMMAND ACCEPTED ACK (WindowId=2) -> Latches confirmed
Log,1,Temp,17036531.218969,[Client]   bSentThisInputWindow: false -> true
Log,1,Temp,17036531.218983,[Client]   LastProcessedWindowId: -1 -> 2
Log,1,MoveAbility,17036531.218997,"[GA_MoveBase] ABILITY ACTIVATED: Actor=BP_PlayerUnit_C_0, Team=0"
Log,1,MoveAbility,17036531.219017,[GA_MoveBase] Registered with Barrier: Turn=1 ActionId=CD88B42E40B96AD2B57C7DBC97F7C025 Registered=1
Log,1,MoveAbility,17036531.219029,[GA_MoveBase] TurnId retrieved from TurnManager: 1 (Actor=BP_PlayerUnit_C_0)
Warning,1,MoveAbility,17036531.219043,[GA_MoveBase] BP_PlayerUnit_C_0: Added Event_Dungeon_Step tag (Activate/ResolvedCell)
Warning,1,MoveAbility,17036531.219056,[GA_MoveBase] BP_PlayerUnit_C_0: Sent GameplayEvent Event_Dungeon_Step START (ResolvedCell)
