Type,TurnID,Category,Timestamp,Message
SessionStart,0,Session,17538751.684829,=== SESSION 20251121-110648 STARTED ===
Warning,0,TurnManager,17538751.684871,GameTurnManager::BeginPlay: START...
Log,0,TurnManager,17538751.684884,GameTurnManager::BeginPlay: Found and added UDebugObserverCSV to DebugObservers.
Log,0,Temp,17538751.684894,[CSV] Session 20251121-110648 started at 17538751.684829 (logs cleared)
Log,0,TurnManager,17538751.684902,[TagCache] Initialized:
Log,0,TurnManager,17538751.684910,  Move: GameplayEvent.Intent.Move
Log,0,TurnManager,17538751.684917,  TurnAbilityCompleted: Gameplay.Event.Turn.Ability.Completed
Log,0,TurnManager,17538751.684924,  PhaseInit: Phase.Turn.Init
Log,0,TurnManager,17538751.684931,  PhaseWait: Phase.Player.WaitInput
Log,0,TurnManager,17538751.684937,  Gate: Gate.Input.Open
Log,0,TurnManager,17538751.684944,  InProgress: State.Action.InProgress
Warning,0,TurnManager,17538751.684953,TurnManager: ACQ_WORLD_V3 - DungeonSys=000001F40BDF06E0 (NEW BINARY)
Log,0,TurnManager,17538751.684961,TurnManager: Subscribed to DungeonSys->OnGridReady
Log,0,TurnManager,17538751.684969,TurnManager: Triggering dungeon generation...
Warning,0,RogueDungeon,17538751.684977,★★★ [URogueDungeonSubsystem] START_GEN_V3 called (NEW BINARY) ★★★
Log,0,RogueDungeon,17538751.684986,"[URogueDungeonSubsystem] ConfigActor=BP_DungeonConfigActor_C_1, ConfigDA=/Game/Rogue/Systems/BP_RogueFloorConfigData.BP_RogueFloorConfigData"
Display,0,Temp,17538751.684994,"[RogueSubsystem] Generate START (Seed=25331, Map=64x64, Cell=100)"
Warning,0,Temp,17538751.685003,Dungeon attempt 1 rejected: produced 11 rooms (min required=12) with template DungeonTemplate_NormalBSP_0. Re-rolling...
Log,0,Temp,17538751.685243,"Dungeon GENERATED: Seed=FRandomStream(InitialSeed=25331, Seed=4229260353) Rooms=37 Walkable=1252 Reach=100.0%"
Log,0,Temp,17538751.687704,"[DungeonRenderComponent] RenderDungeonFromFloor called. bRenderInGame=1, CellSize=100, DebugDrawMode=0"
Display,0,Temp,17538751.835466,"[RogueSubsystem] Generate DONE (Rooms=37, Walkable=1252, Reach=100.0%)"
Log,0,TurnManager,17538751.835492,HandleDungeonReady: Creating UnitManager...
Log,0,TurnManager,17538751.835511,ResolveOrSpawnUnitManager: Found existing UnitManager: UnitManager_0
Log,0,GridPathfinding,17538751.835543,"[GridPathfindingSubsystem] InitializeGrid: 64x64, TileSize=100cm, Origin=V(0)"
Log,0,GridPathfinding,17538751.835561,[GridPathfindingSubsystem] Origin set to: V(0)
