Type,TurnID,Category,Timestamp,Message
Log,1,UnitMovement,17037505.701709,[UnitMovementComponent] Movement finished and snapped. (RetryCount=0)
Log,1,TurnBarrier,17037505.701956,[Barrier] Broadcasting OnAllMovesFinished for Turn 1
Log,2,TurnManager,17037505.701974,[Turn 1] Barrier complete - all move actions finished (EnemyPhaseInProgress=1)
Log,2,TurnManager,17037505.701986,[Turn 1] Enemy phase complete. Ending turn.
Log,2,Temp,17037505.701996,[PlayerInputProcessor] Gate CLOSED (tags removed)
Warning,2,TurnManager,17037505.702007,[Turn 1] ==== EndEnemyTurn ====
Log,2,TurnAdvanceGuard,17037505.702018,"[CanAdvanceTurn] OK: Turn=1 (Barrier=Quiet, InProgress=0)"
Log,2,TurnManager,17037505.702030,[AdvanceTurnAndRestart] Current Turn: 1
Log,2,TurnAdvanceGuard,17037505.702040,"[CanAdvanceTurn] OK: Turn=1 (Barrier=Quiet, InProgress=0)"
Log,2,TurnCore,17037505.702049,[TurnCore] CleanupPhase: Complete
Log,2,TurnManager,17037505.702060,[AdvanceTurnAndRestart] CoreCleanupPhase completed
Log,2,TurnFlow,17037505.702071,[TurnFlowCoordinator] Turn ended: TurnId=1
Log,2,TurnFlow,17037505.702082,"[TurnFlowCoordinator] Turn advanced: TurnId=2, TurnIndex=2"
Log,2,TurnManager,17037505.702093,[AdvanceTurnAndRestart] Turn advanced: 1 -> 2 (bEndTurnPosted reset)
Log,2,TurnManager,17037505.702105,[AdvanceTurnAndRestart] Barrier::BeginTurn(2) called
Log,2,TurnManager,17037505.702114,[AdvanceTurnAndRestart] OnTurnStarted broadcasted for turn 2
Warning,2,TurnInit,17037505.702133,[Turn 2] ==== OnTurnStarted (Subsystem) START ====
Log,2,TurnInit,17037505.702143,[Turn 2] ClearResidualInProgressTags called
Log,2,EnemyAI,17037505.702154,[CollectAllEnemies] ==== START ====
Log,2,EnemyAI,17037505.702164,[CollectAllEnemies] GetAllActorsOfClass found 6 Pawns
Log,2,EnemyAI,17037505.702174,"[CollectAllEnemies] Added[0]: BP_EnemyUnitBase_C_0 (TeamId=2, GTag=1, ByTeam=1, ActorTag=1)"
Log,2,EnemyAI,17037505.702185,"[CollectAllEnemies] Added[1]: BP_EnemyUnitBase_C_1 (TeamId=2, GTag=1, ByTeam=1, ActorTag=1)"
Log,2,EnemyAI,17037505.702195,"[CollectAllEnemies] Added[2]: BP_EnemyUnitBase_C_2 (TeamId=2, GTag=1, ByTeam=1, ActorTag=1)"
Log,2,EnemyAI,17037505.702205,[CollectAllEnemies] ==== RESULT ==== found=6  collected=5  byGTag=5  byTeam=5  byActorTag=5
Log,2,TurnInit,17037505.702214,[Turn 2] Enemy roster updated: 5 -> 5
