Type,TurnID,Category,Timestamp,Message
Log,35,TurnManager,17031308.227332,[Turn 35] Player action complete - enemy phase already in progress (skipping redundant AI calc)
Log,35,UnitMovement,17031308.227341,[UnitMovementComponent] Movement finished and snapped. (RetryCount=0)
Log,35,TurnBarrier,17031308.227408,[Barrier] Broadcasting OnAllMovesFinished for Turn 35
Log,35,TurnManager,17031308.227422,[Turn 35] Barrier complete - all move actions finished (EnemyPhaseInProgress=1)
Log,36,TurnManager,17031308.227432,[Turn 35] Enemy phase complete. Ending turn.
Warning,36,TurnManager,17031308.227452,[Turn 35] ==== EndEnemyTurn ====
Log,36,TurnManager,17031308.227472,[AdvanceTurnAndRestart] Current Turn: 35
Log,36,TurnCore,17031308.227493,[TurnCore] CleanupPhase: Complete
Log,36,TurnManager,17031308.227502,[AdvanceTurnAndRestart] CoreCleanupPhase completed
Log,36,TurnFlow,17031308.227511,[TurnFlowCoordinator] Turn ended: TurnId=35
Log,36,TurnFlow,17031308.227521,"[TurnFlowCoordinator] Turn advanced: TurnId=36, TurnIndex=36"
Log,36,TurnManager,17031308.227531,[AdvanceTurnAndRestart] Turn advanced: 35 -> 36 (bEndTurnPosted reset)
Log,36,TurnManager,17031308.227540,[AdvanceTurnAndRestart] Barrier::BeginTurn(36) called
Log,36,TurnManager,17031308.227550,[AdvanceTurnAndRestart] OnTurnStarted broadcasted for turn 36
Warning,36,TurnInit,17031308.227559,[Turn 36] ==== OnTurnStarted (Subsystem) START ====
Log,36,TurnInit,17031308.227569,[Turn 36] ClearResidualInProgressTags called
Log,36,EnemyAI,17031308.227621,"[CollectAllEnemies] Added[2]: BP_EnemyUnitBase_C_2 (TeamId=2, GTag=1, ByTeam=1, ActorTag=1)"
Log,36,EnemyAI,17031308.227632,[CollectAllEnemies] ==== RESULT ==== found=6  collected=5  byGTag=5  byTeam=5  byActorTag=5
Log,36,TurnInit,17031308.227640,[Turn 36] Enemy roster updated: 5 -> 5
Warning,36,TurnInit,17031308.227650,[Turn 36] ==== TurnInitialization START ====
Log,36,TurnInit,17031308.227680,[Turn 36] Skipped initial DistanceField update (will be updated in ExecuteEnemyPhase)
Log,36,TurnInit,17031308.227690,[Turn 36] Skipped preliminary intent generation (will be generated in ExecuteEnemyPhase)
Warning,36,TurnInit,17031308.227698,[Turn 36] ==== TurnInitialization END ====
Warning,36,TurnInit,17031308.227709,[Turn 36] ==== OnTurnStarted (Subsystem) END ====
Log,36,TurnManager,17031308.227773,[Turn 36] Client: Gate OPENED after replication (WindowId=37)
Warning,36,Temp,17031308.227783,"[Client] OnRep: Window OPEN, gate reset"
Log,36,Temp,17031308.485796,[Client] Command created: TurnId=36 (from TurnManager) WindowId=37
Log,36,Temp,17031308.485938,[Client]   LastProcessedWindowId: -1 -> 37
Log,36,MoveAbility,17031308.485950,"[GA_MoveBase] ABILITY ACTIVATED: Actor=BP_PlayerUnit_C_0, Team=0"
Log,36,MoveAbility,17031308.485960,[GA_MoveBase] Registered with Barrier: Turn=36 ActionId=09B2B87945CB1893B3FE97976BBF48F8 Registered=1
Log,36,MoveAbility,17031308.485970,[GA_MoveBase] TurnId retrieved from TurnManager: 36 (Actor=BP_PlayerUnit_C_0)
Warning,36,MoveAbility,17031308.485991,[GA_MoveBase] BP_PlayerUnit_C_0: Sent GameplayEvent Event_Dungeon_Step START (ResolvedCell)
Log,36,MoveAbility,17031308.486003,"[GA_MoveBase] Starting move to resolved cell: Target=(40,33) Actor=BP_PlayerUnit_C_0 Magnitude=4180129"
Log,36,MoveAbility,17031308.486015,[BindMoveFinishedDelegate] SUCCESS: Unit BP_PlayerUnit_C_0 delegate bound to UnitMovementComponent::OnMoveFinished
Log,36,UnitBase,17031308.486024,[MoveUnit] BP_PlayerUnit_C_0: Delegating to MovementComponent (PathNum=1)
Log,36,UnitMovement,17031308.486034,[UnitMovementComponent] Movement started with 1 waypoints
Log,36,TurnManager,17031308.486056,"[TurnCommandHandler] Player move reserved (40,33) - triggering enemy phase for simultaneous movement."
Log,36,TurnManager,17031308.486066,"[Turn 36] ExecuteEnemyPhase: Using RESERVED PlayerTargetCell=(40,33)"
Warning,36,TurnCore,17031308.486095,"[TurnCore] CoreObservationPhase received PlayerCell=(40, 33)"
Log,36,TurnCore,17031308.486105,[TurnCore] ObservationPhase: Purged outdated reservations for turn 36
Log,36,TurnCore,17031308.486116,[TurnCore] ObservationPhase: Updating DistanceField with Margin=22 (Enemies=5)
Log,36,TurnCore,17031308.486519,[TurnCore] ObservationPhase: Complete
Log,36,EnemyThinker,17031308.486781,[ComputeIntent] BP_EnemyUnitBase_C_4: MOVE intent (TileDistance=6 > Range=1)
Log,36,EnemyAI,17031308.486795,"[ComputeIntent] Enemy=BP_EnemyUnitBase_C_4, Thinker found, Intent=AI.Intent.Move"
Warning,36,EnemyAI,17031308.486810,"[CollectIntents] Pass1 Complete: AttackIntents=0, HardBlockedCells=0"
Warning,36,EnemyAI,17031308.486823,[CollectIntents] === PASS 2: Move/Wait Intent Generation ===
Warning,36,EnemyAI,17031308.486837,"[CollectIntents] ==== RESULT ==== Generated 5 intents (Attack=0, Move=5, Wait=0)"
Log,36,EnemyTurnDataSys,17031308.486853,"[Turn 36] RegenerateIntents: Generated 5 intents (Attack=0, Move=5, Wait=0) for PlayerCell=(40,33)"
Log,36,TurnManager,17031308.486866,[Turn 36] Mode: SIMULTANEOUS
Log,36,TurnManager,17031308.486879,[Turn 36] ==== Simultaneous Move Phase (No Attacks) ====
Log,36,TurnManager,17031308.486894,[Turn 36] ExecuteSimultaneousPhase: Processing 5 intents via CoreResolvePhase
Log,36,TurnCore,17031308.486906,"[TurnCore] ResolvePhase: Resolved 5 actions, Hash=0x5289FBAF"
Log,36,TurnManager,17031308.486974,[Turn 36] ExecuteSimultaneousPhase: CoreResolvePhase produced 5 resolved actions
Log,36,UnitBase,17031308.486989,[MoveUnit] BP_EnemyUnitBase_C_1: Delegating to MovementComponent (PathNum=1)
Log,36,UnitMovement,17031308.487000,[UnitMovementComponent] Movement started with 1 waypoints
Log,36,MoveReservation,17031308.487013,"[DispatchResolvedMove] Registered enemy move: Actor=BP_EnemyUnitBase_C_1, TurnId=36, ActionId=BEA647F2403332E7EE48E786D9435450"
Log,36,UnitBase,17031308.487030,[MoveUnit] BP_EnemyUnitBase_C_4: Delegating to MovementComponent (PathNum=1)
Log,36,UnitMovement,17031308.487045,[UnitMovementComponent] Movement started with 1 waypoints
Log,36,MoveReservation,17031308.487064,"[DispatchResolvedMove] Registered enemy move: Actor=BP_EnemyUnitBase_C_4, TurnId=36, ActionId=48DB44AC4AC8164066DA3A8DB46BFD2E"
Log,36,UnitBase,17031308.487079,[MoveUnit] BP_EnemyUnitBase_C_3: Delegating to MovementComponent (PathNum=1)
Log,36,UnitMovement,17031308.487093,[UnitMovementComponent] Movement started with 1 waypoints
Log,36,MoveReservation,17031308.487107,"[DispatchResolvedMove] Registered enemy move: Actor=BP_EnemyUnitBase_C_3, TurnId=36, ActionId=6706586E4B8A081BF82D2AA043FA0BA1"
Log,36,UnitBase,17031308.487123,[MoveUnit] BP_EnemyUnitBase_C_0: Delegating to MovementComponent (PathNum=1)
Log,36,UnitMovement,17031308.487138,[UnitMovementComponent] Movement started with 1 waypoints
Log,36,MoveReservation,17031308.487154,"[DispatchResolvedMove] Registered enemy move: Actor=BP_EnemyUnitBase_C_0, TurnId=36, ActionId=8F79B94C476697508E035CB7A4513176"
